Method,Algorithm,Clusters,Silhouette,Inertia
umap,HDBSCAN,16,0.7042717337608337,
umap,KMeans,2,0.6229029893875122,2640.845947265625
umap,Spectral,2,0.6154548525810242,
umap,KMeans,3,0.553948163986206,2035.587158203125
umap,Agglomerative,2,0.5526048541069031,
umap,KMeans,4,0.5484116673469543,1541.849853515625
autoencoder,Agglomerative,2,0.5419697761535645,
umap,KMeans,5,0.5347683429718018,1237.0294189453125
umap,Spectral,3,0.5182934403419495,
umap,Spectral,4,0.48724645376205444,
umap,Agglomerative,4,0.48041871190071106,
umap,Agglomerative,5,0.4804011881351471,
umap,Spectral,5,0.47785496711730957,
umap,Agglomerative,3,0.46436408162117004,
autoencoder,Agglomerative,3,0.4122631251811981,
autoencoder,Agglomerative,4,0.36186930537223816,
raw_norm,HDBSCAN,2,0.3196243693763027,
autoencoder,Agglomerative,5,0.31198203563690186,
bin_norm,HDBSCAN,2,0.2600209334857455,
tfidf_norm,HDBSCAN,2,0.2543546389131325,
nmf,Agglomerative,3,0.17574213735435504,
svd,KMeans,2,0.16816427652401592,353.78532135503525
svd,Spectral,2,0.16067780627500552,
nmf,Agglomerative,4,0.15879685209570119,
svd,KMeans,3,0.15583810265141268,335.98535859998606
nmf,Agglomerative,5,0.14767196651695913,
svd,KMeans,4,0.14675565598918233,320.2097182759121
svd,KMeans,5,0.13589576453219201,310.3866044929845
nmf,Agglomerative,2,0.1259052509618342,
nmf,Spectral,5,0.1256826980695679,
svd,Agglomerative,2,0.1196954059876712,
svd,Agglomerative,3,0.1165796457247221,
nmf,Spectral,4,0.11071468023389082,
svd,HDBSCAN,2,0.10106288559747173,
nmf,Spectral,3,0.09394426136730769,
nmf,Spectral,2,0.07733526046495344,
bin_norm,KMeans,2,0.07466387273099268,965.2108669206625
bin_norm,Spectral,2,0.072716725888965,
raw_norm,KMeans,2,0.07157615858378541,971.4020144642822
raw_norm,Spectral,2,0.0695800876800209,
bin_norm,KMeans,3,0.0680145757541161,947.1946435029665
bin_norm,Agglomerative,2,0.06784432847197279,
nmf,KMeans,2,0.06606833597544853,114.77408968506353
raw_norm,KMeans,3,0.0659831766674167,953.4069349876993
svd,Agglomerative,4,0.06589893227986117,
tfidf_norm,KMeans,2,0.06469262053907479,988.7400390699222
tfidf_norm,Spectral,2,0.062020549825455046,
raw_norm,Agglomerative,2,0.061111056954110884,
raw_norm,Spectral,3,0.060433550765969464,
tfidf_norm,KMeans,3,0.0593993906297974,972.1513467536342
bin_norm,KMeans,4,0.05829767037248787,930.414876824566
raw_norm,KMeans,4,0.057715496572387795,937.4562839204174
bin_norm,Spectral,3,0.055137946671928235,
svd,Spectral,3,0.0541453213574531,
svd,Spectral,4,0.05380796179315841,
tfidf_norm,KMeans,4,0.05265904756826428,956.8250369771573
bin_norm,Spectral,4,0.05239078817785796,
tfidf_norm,Agglomerative,2,0.05164337605204278,
raw_norm,Spectral,4,0.05152536065913191,
raw_norm,KMeans,5,0.05115932373353486,927.4667579650829
tfidf_norm,Spectral,3,0.049037824768687156,
bin_norm,KMeans,5,0.047275042376897246,920.1743234276593
nmf,KMeans,3,0.046859257626255556,101.03169455854297
tfidf_norm,Spectral,4,0.046754858525381214,
raw_norm,Spectral,5,0.04642340937945424,
tfidf_norm,KMeans,5,0.04556087025155449,947.3035183691669
nmf,KMeans,5,0.045077563448271504,79.3233598386383
raw_norm,Agglomerative,3,0.044108037428162244,
bin_norm,Spectral,5,0.04236334144028403,
bin_norm,Agglomerative,3,0.03945711372022389,
tfidf_norm,Spectral,5,0.038082196280193145,
nmf,KMeans,4,0.03766111769325103,88.15058874218366
svd,Spectral,5,0.03605940710073778,
tfidf_norm,Agglomerative,3,0.03300417867613176,
raw_norm,Agglomerative,4,0.029755977004305517,
svd,Agglomerative,5,0.028781881943173257,
bin_norm,Agglomerative,4,0.02646171867032972,
tfidf_norm,Agglomerative,4,0.021577938094829628,
raw_norm,Agglomerative,5,0.01997597156244525,
bin_norm,Agglomerative,5,0.01867287241452564,
tfidf_norm,Agglomerative,5,0.015852524637999663,
autoencoder,KMeans,2,-0.13057160377502441,4330.5791015625
autoencoder,Spectral,2,-0.13718557357788086,
autoencoder,KMeans,3,-0.25664323568344116,1974.02490234375
autoencoder,KMeans,4,-0.2678344249725342,1177.0609130859375
autoencoder,Spectral,3,-0.27693405747413635,
autoencoder,Spectral,4,-0.3004021942615509,
autoencoder,Spectral,5,-0.30216139554977417,
autoencoder,KMeans,5,-0.3022114336490631,802.2643432617188
autoencoder,HDBSCAN,4,-0.3657269775867462,
